site,Plot,Basal_Area_20m,Basal_Area_19m,Basal_Area_18m,Basal_Area_17m,Basal_Area_16m,Basal_Area_15m,Basal_Area_14m,Basal_Area_13m,Basal_Area_12m,Basal_Area_11m,Basal_Area_10m,Basal_Area_09m,Basal_Area_08m,Basal_Area_07m,Basal_Area_06m,Basal_Area_05m,Basal_Area_04m,Broad_BA_20m,Broad_BA_19m,Broad_BA_18m,Broad_BA_17m,Broad_BA_16m,Broad_BA_15m,Broad_BA_14m,Broad_BA_13m,Broad_BA_12m,Broad_BA_11m,Broad_BA_10m,Broad_BA_09m,Broad_BA_08m,Broad_BA_07m,Broad_BA_06m,Broad_BA_05m,Broad_BA_04m,perc_broad_20m,perc_broad_19m,perc_broad_18m,perc_broad_17m,perc_broad_16m,perc_broad_15m,perc_broad_14m,perc_broad_13m,perc_broad_12m,perc_broad_11m,perc_broad_10m,perc_broad_09m,perc_broad_08m,perc_broad_07m,perc_broad_06m,perc_broad_05m,perc_broad_04m,CanOpen
Arville,1,18.65323125,18.7660734072022,20.744637345679,23.2569636678201,23.82328125,27.1056,27.3967346938776,29.4186834319527,27.3099652777778,15.2353925619835,10.9546,13.5241975308642,6.95640625,0,0,0,0,18.65323125,18.7660734072022,20.744637345679,23.2569636678201,23.82328125,27.1056,27.3967346938776,29.4186834319527,27.3099652777778,15.2353925619835,10.9546,13.5241975308642,6.95640625,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0.372700455
Arville,2,21.76504375,24.116391966759,21.7006404320988,17.0994982698962,17.138056640625,19.4993,20.6192984693878,23.9135059171598,28.06515625,21.7814256198347,26.355525,32.5376851851852,41.1805078125,42.9438775510204,58.4513888888889,66.53,0,21.76504375,24.116391966759,21.7006404320988,17.0994982698962,17.138056640625,19.4993,20.6192984693878,23.9135059171598,28.06515625,21.7814256198347,26.355525,32.5376851851852,41.1805078125,42.9438775510204,58.4513888888889,66.53,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0.257873765
Arville,3,17.1679625,19.0226731301939,19.5409336419753,21.9074826989619,19.327109375,19.9640777777778,19.6003443877551,20.1222928994083,23.6157465277778,17.4769214876033,21.147075,25.6556172839506,26.947890625,20.2594387755102,27.5753472222222,20.6116,32.205625,17.1679625,19.0226731301939,19.5409336419753,21.9074826989619,19.327109375,19.9640777777778,19.6003443877551,20.1222928994083,23.6157465277778,17.4769214876033,21.147075,25.6556172839506,26.947890625,20.2594387755102,27.5753472222222,20.6116,32.205625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.363536429
Arville,4,26.98040625,28.6479155124654,30.3897453703704,30.5111591695502,25.252939453125,26.2252888888889,28.2345280612245,32.3377366863905,26.7293402777778,31.8101239669421,35.914225,44.3385493827161,56.1159765625,73.2943367346939,77.9839583333333,112.2969,139.46390625,26.98040625,28.6479155124654,30.3897453703704,30.5111591695502,25.252939453125,26.2252888888889,28.2345280612245,32.3377366863905,26.7293402777778,31.8101239669421,35.914225,44.3385493827161,56.1159765625,73.2943367346939,77.9839583333333,112.2969,139.46390625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.22382032
Arville,5,27.475475,30.4437396121884,33.3154012345679,36.3442474048443,34.090771484375,38.0296666666667,38.4849489795918,32.501050295858,28.9265798611111,33.785020661157,23.879875,25.3242592592593,26.9603515625,19.0198469387755,25.888125,17.4724,27.300625,23.08288125,25.5765997229917,28.4973842592593,30.9427335640138,31.05546875,35.3342222222222,35.3906887755102,31.3628698224852,27.5907986111111,32.8353305785124,22.73075,23.9055864197531,25.16484375,16.674693877551,22.6961111111111,17.4724,27.300625,84.0126740302033,84.0126740302033,85.5381691446973,85.1379125266727,91.0964093735274,92.9122585583769,91.959817315277,96.4980194085671,95.3821666563636,97.1890202697538,95.1878935714697,94.3979690581178,93.3401913979585,87.6699688027275,87.6699688027275,100,100,0.244239291
Arville,6,23.506275,23.8685249307479,23.9985725308642,26.9049740484429,27.036123046875,30.7611,28.0001785714286,32.4735798816568,38.1113541666667,34.3949173553719,41.61785,42.9695679012346,42.566953125,34.3116836734694,39.2309027777778,56.4925,63.51890625,21.4486375,21.820512465374,21.7166820987654,24.3467301038062,24.14810546875,27.4751777777778,26.340943877551,30.5492603550296,35.8529513888889,31.7072314049587,38.36575,39.6490740740741,38.364453125,28.8227040816327,39.2309027777778,56.4925,63.51890625,91.2464331332804,91.4196102552794,90.4915576575896,90.4915576575896,89.3179300407911,89.3179300407911,94.0741995996746,94.0741995996746,94.0741995996746,92.185804889008,92.185804889008,92.2724523672367,90.1273178099942,84.0025932738447,100,100,100,0.228689504
Arville,7,22.835875,25.3029085872576,24.6358487654321,24.7700432525952,23.468154296875,25.0918888888889,28.8044642857143,33.4063609467456,36.6460763888889,35.2700826446281,28.6118,35.3232098765432,44.7059375,56.8110204081633,64.125,71.9096,0,12.92651875,14.323012465374,14.6992824074074,14.461401384083,13.923095703125,14.5720111111111,16.7280739795918,19.4006065088757,20.2087673611111,19.7727272727273,9.86,12.1728395061728,15.40625,20.1224489795918,14.1877777777778,0,0,56.6061898219359,56.6061898219359,59.6662308953316,58.3826246753442,59.3276127598112,58.0745880696285,58.0745880696285,58.0745880696285,55.1457873597579,56.0609042852323,34.4613061743756,34.4613061743756,34.4613061743756,35.4199745665903,22.1251895170024,0,0,0.461607021
Arville,8,25.74975625,25.0621260387812,24.5937114197531,25.5707958477509,26.019375,26.2398222222222,23.5676275510204,23.4601331360947,25.4074826388889,29.7406198347107,33.280125,25.9772839506173,27.355,35.7289795918367,45.3610416666667,65.3199,102.06234375,18.403375,17.7850346260388,17.3211882716049,17.4175173010381,16.815087890625,19.1318333333333,18.9125510204082,19.1477514792899,22.4720138888889,26.7435537190083,29.653675,21.5001851851852,21.688671875,28.3280612244898,38.5576388888889,55.523,86.7546875,71.4700940130259,70.9637905360391,70.4293385246969,68.114881541984,64.6252567197521,72.9114441832262,80.2480053601717,81.6182558223854,88.4464400046192,89.9226507975985,89.1032560725057,82.7653315337237,79.2859509230488,79.2859509230488,85.0016610558191,85.0016610558191,85.0016610558191,0.212424696
Arville,9,28.6310625,29.5490858725762,29.4852160493827,32.6220415224914,32.05029296875,28.9477444444444,21.4869387755102,22.5511538461538,23.1397222222222,27.1890082644628,32.8987,27.2894444444444,17.9008984375,23.3807653061224,31.8238194444444,40.6734,0,22.07551875,23.4551385041551,22.8736265432099,25.6437889273356,24.807509765625,21.0839555555556,12.4596301020408,14.4502218934911,16.9589409722222,20.182541322314,24.420875,17.948950617284,14.594140625,19.0617346938776,25.9451388888889,37.361,0,77.1033864006968,79.3768667000399,77.5765946734134,78.6087802311681,77.4018190405095,72.8345367150079,57.9869949470965,64.0775278820407,73.2893023060394,74.2305167073471,74.2305167073471,65.77250282183,81.5274198440633,81.5274198440633,81.5274198440633,91.8561025141739,0,0.328426247
Arville,10,32.34465,34.2887119113573,34.0327854938272,33.5157698961938,33.292275390625,34.6103,33.3834948979592,31.4650295857988,29.3897222222222,31.0572520661157,29.18305,36.0284567901235,43.496015625,55.7235714285714,62.3403472222222,62.7737,53.96546875,14.58006875,16.1552008310249,16.2664737654321,18.2364619377163,17.414404296875,17.3697111111111,17.000943877551,14.1876479289941,11.6261631944444,13.8360950413223,16.741675,20.6687345679012,26.1588671875,34.1666836734694,46.5046527777778,46.0818,36.45140625,45.077219107333,47.1152164385443,47.7964807446705,54.4115859316342,52.3076422159443,50.1865372767965,50.9261955032465,45.0902100387582,39.5586018354867,44.5502873591893,57.3678042562378,57.3678042562378,60.1408354572707,61.3145977501918,74.5980008933932,73.4094055312973,67.5457975151935,0.171710718
