Datum;air_meantemp;air_maxtemp;air_mintemp;soil_meantemp;rain;snow;vegper
2020-01-01;2.8;4.6;0.8;4.6;NaN;-;Nej
2020-01-02;4.1;5.6;1.0;5.6;NaN;-;Nej
2020-01-03;3.3;6.1;-0.7;6.1;NaN;-;Nej
2020-01-04;-0.7;1.0;-3.3;1.0;NaN;-;Nej
2020-01-05;-2.1;1.1;-5.8;1.1;NaN;-;Nej
2020-01-06;1.3;5.1;-2.3;5.1;NaN;-;Nej
2020-01-07;4.2;5.2;3.1;5.2;NaN;-;Nej
2020-01-08;4.8;7.9;1.7;7.9;NaN;-;Nej
2020-01-09;-0.9;2.6;-5.9;2.6;NaN;-;Nej
2020-01-10;-8.2;-5.8;-10.9;-5.8;NaN;-;Nej
2020-01-11;-0.5;5.7;-11.5;5.7;NaN;-;Nej
2020-01-12;2.5;6.1;-1.8;6.1;NaN;-;Nej
2020-01-13;-1.4;1.5;-3.8;1.5;NaN;-;Nej
2020-01-14;2.3;4.0;0.4;4.0;NaN;-;Nej
2020-01-15;2.9;5.4;-0.1;5.4;NaN;0.0;Nej
2020-01-16;4.1;5.9;1.4;5.9;NaN;-;Nej
2020-01-17;4.2;5.4;2.4;5.4;NaN;-;Nej
2020-01-18;2.8;4.9;-0.5;4.9;NaN;-;Nej
2020-01-19;-1.1;2.0;-3.2;2.0;NaN;-;Nej
2020-01-20;2.8;6.8;-2.3;6.8;NaN;-;Nej
2020-01-21;3.2;7.7;-0.1;7.7;NaN;-;Nej
2020-01-22;0.5;3.0;-3.1;3.0;NaN;0.0;Nej
2020-01-23;0.3;6.8;-3.2;6.8;NaN;-;Nej
2020-01-24;1.9;4.9;-2.9;4.9;NaN;-;Nej
2020-01-25;-1.9;3.2;-6.5;3.2;NaN;-;Nej
2020-01-26;3.3;4.6;-0.3;4.6;NaN;-;Nej
2020-01-27;3.2;4.3;1.6;4.3;NaN;-;Nej
2020-01-28;1.3;2.9;0.0;2.9;NaN;-;Nej
2020-01-29;0.0;0.2;-0.1;0.2;NaN;-;Nej
2020-01-30;-0.2;0.2;-1.6;0.2;NaN;-;Nej
2020-01-31;-0.8;0.8;-2.5;0.8;NaN;-;Nej
2020-02-01;2.5;4.8;-0.1;4.8;NaN;13.2;Nej
2020-02-02;-0.1;2.9;-3.3;2.9;NaN;-;Nej
2020-02-03;-5.4;-1.1;-9.4;-1.1;NaN;-;Nej
2020-02-04;-6.4;-3.0;-9.4;-3.0;NaN;-;Nej
2020-02-05;-2.5;2.4;-10.1;2.4;NaN;-;Nej
2020-02-06;-0.4;1.7;-1.2;1.7;NaN;-;Nej
2020-02-07;0.6;3.3;-1.2;3.3;NaN;-;Nej
2020-02-08;1.7;2.5;0.9;2.5;NaN;-;Nej
2020-02-09;2.4;5.3;1.1;5.3;NaN;-;Nej
2020-02-10;3.3;5.6;-1.7;5.6;NaN;-;Nej
2020-02-11;-1.0;2.5;-3.0;2.5;NaN;-;Nej
2020-02-12;-1.0;1.6;-4.1;1.6;NaN;-;Nej
2020-02-13;-3.7;2.1;-8.0;2.1;NaN;3.2;Nej
2020-02-14;-3.9;1.3;-9.1;1.3;NaN;-;Nej
2020-02-15;1.7;4.5;-0.7;4.5;NaN;-;Nej
2020-02-16;4.7;7.5;2.0;7.5;NaN;-;Nej
2020-02-17;4.6;6.5;2.4;6.5;NaN;-;Nej
2020-02-18;3.6;6.3;-0.2;6.3;NaN;-;Nej
2020-02-19;-0.1;6.0;-5.5;6.0;NaN;-;Nej
2020-02-20;-1.6;2.8;-7.5;2.8;NaN;0.0;Nej
2020-02-21;3.0;6.0;-0.4;6.0;NaN;-;Nej
2020-02-22;3.8;6.2;-0.2;6.2;NaN;-;Nej
2020-02-23;1.4;4.9;-3.4;4.9;NaN;-;Nej
2020-02-24;-2.4;2.9;-7.9;2.9;NaN;-;Nej
2020-02-25;-4.9;0.5;-9.9;0.5;NaN;-;Nej
2020-02-26;-5.0;-1.8;-11.9;-1.8;NaN;-;Nej
2020-02-27;-9.4;-2.5;-14.6;-2.5;NaN;0.0;Nej
2020-02-28;-6.7;0.2;-16.0;0.2;NaN;-;Nej
2020-02-29;-3.5;0.4;-9.4;0.4;NaN;-;Nej
2020-03-01;-2.5;-1.2;-3.8;-1.2;NaN;13.8;Nej
2020-03-02;0.5;NaN;NaN;NaN;NaN;-;Nej
2020-03-03;-1.4;0.3;-2.4;0.3;NaN;23.6;Nej
